cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,aspect_ratio,elongation,equivalent_diameter,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,nn_dist_1,nn_dist_2,nn_dist_3,local_density,neighbor_area_ratio_mean,neighbor_roundness_mean
1,62.0,36.55634918610404,0.9529047088466019,0.8857142857142857,16.535674898707615,5.0147720261878295,-1.5482906031439685,1.967741935483871,36.17741935483871,0.5830098864478314,3.297393144166085,0.6967301270188995,8.884866446580956,0.018619361479587603,0.0010008860302562926,0.022503823812375173,-0.9997467568908747,1.1062683040214047,1.5752683764865378,2.1839641343023604,0.6165860646591967,5.983870967741935,0.7891980506412244
2,392.0,78.18376618407356,0.6805131781736593,0.937799043062201,26.99933722887232,19.78338210116585,-0.6166585100586132,10.15561224489796,126.05102040816327,0.805865859187169,1.3647483069783721,0.2672641578768066,22.34076770248023,0.06487443150188536,0.005165621691199369,0.8158154324959135,-0.5783123551347539,1.3026392706547296,1.4036727668515736,1.5054388597853046,0.7122928380995107,0.8937074829931972,0.8073477227402193
3,463.0,118.76955262170047,0.9785081813118637,0.8638059701492538,55.598981554717916,11.464954767100988,-1.4632604438517136,5.317494600431965,168.20086393088553,0.4124588379480769,4.849472386429362,0.7937920003837171,24.279825147895533,0.08656760881671927,0.0027047276706164626,0.10732874586126004,-0.9942235866805057,1.2348153848818393,1.4885544819634724,1.9312255657819428,0.6445243294338624,0.8531317494600432,0.7547415519824027
4,482.0,99.7401153701776,0.9219049721344494,0.8860294117647058,41.480728148934595,16.07030127227209,-0.569737520254504,14.630705394190871,743.1182572614108,0.6088596164939214,2.5812041383757998,0.6125839157265409,24.77299861870477,0.3824592162951162,0.007441864391755275,0.8420425886418121,-0.5394110481936719,0.6399392325835568,1.7134843480826183,1.7833810414458813,0.7251974105724969,1.2994467496542186,0.7487180786422885
5,336.0,72.5269119345812,0.8498685139149498,0.9464788732394366,28.636242493856273,15.091150609460305,-0.47370377776098443,12.071428571428571,845.5535714285714,0.802695389798245,1.8975519650506205,0.47300520965004333,20.683531783305643,0.4351793985736343,0.006140095916291236,0.889884786631957,-0.456185342290824,1.1815774316214505,1.819093095154561,2.064420143186313,0.5922894959790156,1.0952380952380953,0.8736033697131593
6,42.0,27.899494936611667,0.9317336177867857,0.9333333333333333,12.728612033468858,4.622299823256852,-0.04915415058937993,6.5476190476190474,12.30952380952381,0.6780574183379549,2.7537400255659605,0.6368575135212788,7.312732791431452,0.006335318481484205,0.003330426779053432,0.9987921779572748,-0.04913435917322484,1.1062683040214047,2.3746622599653877,2.4576834443605726,0.505168376961893,8.992063492063492,0.7575155400111832
7,62.0,35.89949493661167,0.9508855606161802,0.9538461538461539,16.59122621971971,5.135692089064661,-1.5350615731539465,2.532258064516129,98.46774193548387,0.6045397697837548,3.2305726145551286,0.6904573525155984,8.884866446580956,0.05067819965799479,0.0012880254651658845,0.035727148742878224,-0.999361581632346,1.0299464149820725,1.3026392706547296,2.0484216975676177,0.6847740114525205,6.46236559139785,0.8339656635088818
8,100.0,40.59188309203678,0.8647432359501295,0.8928571428571429,16.517263100000857,8.2952046198602,-1.045966857269157,4.91,200.9,0.762660872367081,1.9911821174917832,0.49778576694950327,11.283791670955125,0.10339680905815749,0.0024974567650050865,0.5010654332845612,-0.8654094011318314,0.9743582055554659,1.4885544819634724,1.7213453025750431,0.7169729990603705,6.09,0.5380367068911415
9,671.0,129.09545442950497,0.9678398462888262,0.9345403899721448,58.705933032467954,14.768484375007107,-0.6462245690122039,24.444113263785393,209.65275707898658,0.5059533583323896,3.9750817715470346,0.7484328480591691,29.229158977248975,0.10790157338084744,0.012433424854417799,0.7983629589963104,-0.6021765403124367,0.9743582055554659,1.3499717424868227,1.361654174240631,0.8138939020013862,0.7093889716840537,0.8155284758099555
10,448.0,84.18376618407356,0.8264759433328349,0.9696969696969697,32.3209069976959,18.195766868786567,1.2255520013144565,9.053571428571429,265.890625,0.7943852573789377,1.7762871568298624,0.43702796242433073,23.883285285767386,0.1368454065877509,0.0046050719372184275,0.33842659586327695,0.9409927944529619,1.0893380895436373,1.4715347358115263,2.5974945824210183,0.5815793569642854,1.0803571428571428,0.7538785884208944
11,124.0,51.9350288425444,0.9469352595245938,0.9465648854961832,22.9166177249113,7.365959009764286,1.5302745419160333,3.435483870967742,289.1532258064516,0.5777112101998976,3.111151948379447,0.6785756476725975,12.565098628628435,0.14881792372951702,0.001747448561021232,0.04051069622585347,0.9991791048111928,1.0893380895436373,2.517355014763995,3.571986482360342,0.4179041512831286,4.774193548387097,0.8261032708139077
12,177.0,50.384776310850235,0.8178632175020422,0.9672131147540983,20.084091474635205,11.556640990704606,1.5209974088331375,5.361581920903955,576.5875706214689,0.8761620954411187,1.7378831349688473,0.424587315522844,15.012108426804138,0.29675119434970093,0.002727152553867729,0.04977833752354938,0.998760290116398,1.1494269197966744,1.2506119706022176,1.5225982051633555,0.7647916253568182,3.5160075329566856,0.6552601999778389
13,734.0,114.70458146424487,0.8625324820386399,0.9267676767676768,43.46458910498649,21.99315584916724,-0.07061597991078122,20.651226158038146,596.6839237057221,0.7010425764008348,1.9762779567913737,0.49399830293934444,30.570538527078803,0.3070941449849316,0.01050418421059926,0.9975077276161356,-0.07055730540555963,1.0138282583304192,1.120215753955632,1.1314761043528516,0.9186897930023488,0.7266121707538602,0.6904372564201372
