idx1,idx2,distance,cell_id_1,cell_id_2,area_1,area_2,perimeter_1,perimeter_2,roundness_1,roundness_2,eccentricity_1,eccentricity_2,solidity_1,solidity_2,major_axis_length_1,major_axis_length_2,minor_axis_length_1,minor_axis_length_2,aspect_ratio_1,aspect_ratio_2,elongation_1,elongation_2,equivalent_diameter_1,equivalent_diameter_2,nn_dist_1_1,nn_dist_1_2,nn_dist_2_1,nn_dist_2_2,nn_dist_3_1,nn_dist_3_2,local_density_1,local_density_2,neighbor_area_ratio_mean_1,neighbor_area_ratio_mean_2,neighbor_roundness_mean_1,neighbor_roundness_mean_2,ransac_inlier,residual_px
814,775,0.09586918406099602,815,776,437.0,427.0,77.25483399593904,76.42640687119285,0.920110472288308,0.9186516405799393,0.7108326888707925,0.7088261455070664,0.9689578713968958,0.9682539682539683,28.2065449999822,27.843148133657117,19.839387549813647,19.640089651003702,1.4217447453536511,1.4176690956313531,0.2966388634330731,0.29461677405427666,23.58825303088947,23.31680264534386,1.1153233841018777,1.0633493916346086,1.1519603656713249,1.2032987036336782,1.2318072004273515,1.710801038763998,0.8573655394204748,0.7542522604075743,0.8146453089244852,1.1959406713505074,0.8242128338479798,0.8001198062319596,True,1.5568224198009535
1103,1056,0.13310953176394064,1104,1057,242.0,241.0,58.284271247461895,58.526911934581186,0.8952049782605523,0.8841291032657603,0.7813254668735173,0.778819559116518,0.9565217391304348,0.9601593625498008,22.351398908277307,22.292590085304717,13.950039969814846,13.982983271445805,1.6022462270101991,1.594265662237306,0.37587620233251795,0.372751967450234,17.55346033766304,17.517155313611116,1.0170044298963978,1.0088905509298867,1.1706150914463938,1.0817466386814945,1.2850535049208076,1.3203040201646077,0.8638878400906725,0.8795226348087726,2.3112947658402208,2.3333333333333335,0.699611219234503,0.7610907001906995,True,1.204680662779412
994,950,0.13369650783742984,995,951,675.0,667.0,96.18376618407358,95.84062043356593,0.9168748922066796,0.9125075468076596,0.6499745540266253,0.6615856656856308,0.9754335260115607,0.9751461988304093,33.781626358870234,33.78270355190043,25.67254868950449,25.33262217311448,1.3158657041589685,1.333565207779952,0.2400440281714411,0.25013040669773734,29.316150714175198,29.14190756176324,1.1479371717892548,1.1225637712851357,1.1479874636144989,1.1279906272086686,1.605843737361223,1.543443147054335,0.7688821358388475,0.7907227044783376,0.5718518518518518,0.5812093953023488,0.8689313190622049,0.8723575241017322,True,0.5146040118333409
337,312,0.13776851666611373,338,313,415.0,411.0,76.76955262170046,77.01219330881976,0.8848709574325028,0.8708286351034202,0.6618145711769698,0.6577077029952832,0.9496567505720824,0.9513888888888888,26.75536137626759,26.52366898279131,20.057626887823876,19.979570129815386,1.3339245727274756,1.3275395221446835,0.25033242475224815,0.24672675779590558,22.98683125324351,22.875783109789968,0.999973004133253,0.9913389205002152,1.4675081326530865,1.4114182986895476,1.5318571903590972,1.499009419066749,0.750124084186015,0.7688824776410866,0.6281124497991968,0.6601784266017843,0.849618804591327,0.8725592585941223,False,3.9067929115897235
811,771,0.14300752135576855,812,772,558.0,569.0,90.08326112068524,90.66904755831214,0.8640838008904363,0.8697691971693429,0.7472005726415247,0.7509078579902034,0.9587628865979382,0.9627749576988156,32.9736727127552,33.332344673590434,21.91425684882323,22.012913323863,1.5046676207286425,1.514217776774538,0.33540139614638265,0.3395930127500433,26.654599339742866,26.916041702938184,0.9578291694562727,0.963400863468317,1.292799622873397,1.240072389844828,1.393738109075242,1.4144086791746577,0.8231882467277083,0.8292144564090509,0.5232974910394266,0.5618043350908026,0.870707651700874,0.8411572140239595,False,3.1222069478459864
1201,1152,0.1475682529103675,1202,1153,319.0,320.0,71.11269837220809,71.94112549695429,0.792695203892573,0.776972032550095,0.8249025793113876,0.8214994378636907,0.9193083573487032,0.9195402298850575,27.273616943273883,27.24151975055573,15.417091622799191,15.533368571564953,1.7690507140102194,1.7537419282269182,0.4347250804737398,0.42979067563776174,20.153496341094687,20.185060176161283,1.037184361426993,1.0272266228462394,1.1930921925125104,1.0986129010672907,1.4439722384504048,1.3214002506161804,0.8164934302254081,0.8702614834528809,0.8108672936259144,0.796875,0.7208414570486997,0.8121797095082463,False,2.255471201661646
1173,1128,0.1520831389023035,1174,1129,561.0,565.0,85.59797974644665,85.59797974644665,0.9621564505205803,0.9690167460679642,0.3469537064232008,0.3399402665626875,0.9739583333333334,0.9792027729636048,27.628998568049564,27.681328219122715,25.912747500357202,26.032822894432876,1.066231921862732,1.0633241093897032,0.0621177442774582,0.05955297056703457,26.726155439876237,26.821266613927218,1.173139905296403,1.12170006478503,2.064693696574966,1.8869751348760166,2.2668040191094114,2.0157991121875933,0.544995003588534,0.5970773883599017,1.029708853238265,0.7852507374631269,0.807864443675609,0.900043078508188,True,1.853745052280679
180,155,0.1531085260030025,181,156,509.0,515.0,86.18376618407356,85.94112549695429,0.8611458423902401,0.8762237471743555,0.7645599634702581,0.7676601844789278,0.960377358490566,0.9626168224299065,32.040642777036595,32.35642687671325,20.6518798087264,20.73584636274385,1.551463744404415,1.5604102340789006,0.35544739372308964,0.3591428855308084,25.45739437315213,25.60699837034026,1.552353653452739,1.4795258531671402,1.6143987453273665,1.5241043822449574,1.789907998259408,1.728273350717143,0.6052462262276076,0.6339943207621521,0.8375900458415193,0.8336569579288026,0.8184466713526178,0.8218894719294263,False,3.482833759356376
623,591,0.1598800986412698,624,592,577.0,596.0,89.25483399593904,90.66904755831214,0.910169302795688,0.9110411977380112,0.6419879526340867,0.6462625908196409,0.966499162479062,0.9675324675324676,31.072689363640045,31.620970855929457,23.82388846304466,24.130440499646763,1.3042660694050696,1.3104183015802113,0.23328527556026823,0.2368848948506619,27.104597715372734,27.547246117573295,1.2644817657503973,1.2224871266184878,1.306316098978608,1.2693740175834065,1.5327163638611014,1.510785103143328,0.7310806866705433,0.7495041566538054,0.6140958983246678,0.6040268456375839,0.8922222299104611,0.9155289851336055,True,1.8923391007683033
1064,1018,0.16288062184500354,1065,1019,103.0,109.0,35.79898987322333,36.970562748477136,1.009963186162956,1.0021304061097107,0.7429065122374512,0.7331560801512018,0.9716981132075472,0.9732142857142857,14.037290021482338,14.322875047672987,9.396494354750251,9.740420286649966,1.493885856951109,1.470457601024018,0.3306048147206422,0.31993958934714883,11.451797811161432,11.780624362746345,0.9637292813600815,0.9571377993873844,1.2635832780255292,1.2683571829533884,1.4655975458156696,1.4350277101868818,0.8123674594121989,0.8195550887101447,3.8155339805825244,3.7981651376146788,0.8078899201687983,0.814452603630194,True,0.9654630227333687
