cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,x,y
1,235.0,59.556349186104036,0.8430798899107976,0.975103734439834,24.00154063177319,12.907748706926032,1.5330633886134322,4.863829787234042,45.36595744680851,0.8325715973936749,0.023312413898668297,0.002490440239239141,0.037723984952213185,0.9992881971480125,45.36595744680851,4.863829787234042
2,331.0,78.14213562373095,0.9241773688905971,0.9245810055865922,34.21008540250453,13.067007336590395,-1.5047440127658611,5.323262839879154,719.9244712990936,0.6811884963733833,0.3699509102256391,0.00272568501785927,0.0660042944751857,-0.9978193389140305,719.9244712990936,5.323262839879154
3,224.0,60.04163056034262,0.8171705158427984,0.9824561403508771,23.191319264560363,13.367383643148306,1.4089276916421423,4.839285714285714,780.9375,0.7808235915363848,0.40130395683453235,0.0024778728695779386,0.16116269499276398,0.986927852349233,780.9375,4.839285714285714
4,319.0,71.698484809835,0.799638261906095,0.9246376811594202,26.698239345214123,16.031812553571946,-0.5676021399250742,9.64576802507837,802.8119122257053,0.7797952605006552,0.4125446619864878,0.004938949321596707,0.8431925157153648,-0.5376117385638024,802.8119122257053,9.64576802507837
5,159.0,50.97056274847714,0.8866380537178239,0.9695121951219512,21.399962756640633,9.896712616991035,1.3514402697293584,3.880503144654088,928.4654088050314,0.7690740032979203,0.4771148041135824,0.0019869447745284627,0.21760115561122487,0.9760377744107344,928.4654088050314,3.880503144654088
6,106.0,43.31370849898476,0.9300319914204012,0.9636363636363636,19.48472995732811,7.160220582926148,1.5070267694121402,2.509433962264151,968.6415094339623,0.7100108582560686,0.4977602823401656,0.0012849124230743221,0.06372634575235038,0.9979674107189332,968.6415094339623,2.509433962264151
7,610.0,92.66904755831213,0.6933473411224192,0.9621451104100947,32.90226641638593,23.70948971526386,-1.568071038526446,22.724590163934426,1002.5114754098361,0.8926275776493928,0.515165198052331,0.011635734850964887,0.002725284894910092,-0.9999962864042254,1002.5114754098361,22.724590163934426
8,179.0,59.55634918610404,0.9475130531025006,0.9470899470899471,27.246173048453162,8.711067014208528,1.545733578437426,14.156424581005586,1456.6145251396647,0.6341715571636927,0.7485172277182244,0.007248553292885605,0.02506012461508954,0.9996859457621059,1456.6145251396647,14.156424581005586
9,185.0,56.384776310850235,0.8697846842497854,0.9635416666666666,22.712051006067465,11.206840425995562,1.440796082354529,15.0,1499.3243243243244,0.7312365125694827,0.7704647093136302,0.007680491551459293,0.12963438499744487,0.991561862026941,1499.3243243243244,15.0
10,376.0,71.21320343559643,0.5101727399228929,0.9690721649484536,23.780074715597927,20.452575456614092,-0.3588606659679452,21.340425531914892,1517.0186170212767,0.9317012199790412,0.7795573571537907,0.010926997200161236,0.9362975741783268,-0.35120770576366994,1517.0186170212767,21.340425531914892
11,276.0,67.79898987322333,0.8591103626202221,0.9583333333333334,26.78986609772302,13.710795535111046,1.4647805789275186,16.27536231884058,1552.7173913043478,0.7545230284761008,0.7979020510299835,0.008333518852452933,0.10581726828784933,0.9943855920778908,1552.7173913043478,16.27536231884058
12,408.0,97.01219330881975,0.9511996900895753,0.864406779661017,43.41778012455035,13.397685046170391,0.3189189835339426,28.59313725490196,702.9828431372549,0.5447752643994145,0.36124503758337867,0.014640623274399366,0.9495749150113204,0.3135402378981742,702.9828431372549,28.59313725490196
13,392.0,73.11269837220809,0.6644717261457324,0.9631449631449631,25.88767233228047,19.346204555739696,1.5324490156979553,20.76530612244898,1074.920918367347,0.9215317559981849,0.5523745726450909,0.010632517215795688,0.03833791339713873,0.9992648319621548,1074.920918367347,20.76530612244898
14,140.0,42.62741699796952,0.5510482749696427,0.9523809523809523,14.78213359848305,12.335296781381544,-1.0829072695987605,18.914285714285715,1481.8,0.9681883773454034,0.7614594039054471,0.009684734108697243,0.4687622867831418,-0.8833243563322816,1481.8,18.914285714285715
15,247.0,65.11269837220809,0.760598934311993,0.8666666666666667,23.123255553708102,15.01212721150285,0.6516667660582245,23.522267206477732,407.78542510121457,0.732108467941582,0.20955057816095302,0.012044171636701347,0.7950739890525608,0.6065124499398579,407.78542510121457,23.522267206477732
16,479.0,97.39696961966999,0.9316224496460821,0.8986866791744841,42.57491534642361,15.472898769987184,0.6937514275182155,29.167014613778704,1214.6805845511483,0.6345334018142871,0.6241935172410834,0.014934467288161139,0.7688526705497112,0.6394259699047086,1214.6805845511483,29.167014613778704
17,369.0,75.84062043356595,0.8567317183678504,0.9609375,30.33190531030449,15.644053617937828,-0.9103141928451378,27.016260162601625,1166.6937669376694,0.8061808463970099,0.5995343098343625,0.01383321052872587,0.6134976627730592,-0.7896965352412241,1166.6937669376694,27.016260162601625
18,374.0,74.52691193458118,0.7788982848955884,0.9420654911838791,27.898409934216648,17.496495336730217,-0.6165794313813746,28.27540106951872,1035.1764705882354,0.8461653037401305,0.5319509098603471,0.014477931935237439,0.8158611621211153,-0.5782478397213285,1035.1764705882354,28.27540106951872
19,352.0,75.35533905932738,0.8527390098678088,0.9513513513513514,29.562857642081457,15.44178114916862,1.0375142725030637,26.65909090909091,1458.4886363636363,0.7789767058870444,0.7494802859011491,0.013650328166457198,0.5083623929998302,0.8611432385982521,1458.4886363636363,26.65909090909091
20,326.0,71.59797974644665,0.8602672296819713,0.9449275362318841,28.610138071640108,14.586690097301782,1.0914407535208979,26.966257668711656,387.62576687116564,0.7991456278862225,0.1991910415576391,0.013807607613267617,0.4612074764618146,0.887292321422723,387.62576687116564,26.966257668711656
21,523.0,97.74011537017762,0.8932517612567439,0.9339285714285714,39.426901043076334,17.724630352393785,0.6312110761599433,38.09560229445507,1265.6558317399617,0.6879642301887727,0.6503884027440707,0.019506196771354362,0.8073134167463591,0.590122908504084,1265.6558317399617,38.09560229445507
22,536.0,133.53910524340094,0.9784365111209185,0.849445324881141,61.17042813500765,12.634617359406917,1.1364928781522967,39.423507462686565,1611.1231343283582,0.3777093448167407,0.8279152797165253,0.02018612773307044,0.4207786176280348,0.90716335626338,1611.1231343283582,39.423507462686565
23,569.0,93.84062043356595,0.692872808022659,0.9483333333333334,32.49517033410564,23.430961849637292,-0.17845607345394898,40.72407732864675,39.5079086115993,0.8119707588211487,0.020302111311202107,0.02085206212424309,0.9841189285908608,-0.17751037825765598,39.5079086115993,40.72407732864675
24,461.0,80.52691193458116,0.7604480539152333,0.9684873949579832,30.082147852433753,19.535309694329197,-0.020879882516444462,38.33622559652928,686.7982646420825,0.8933645179177877,0.352928193546805,0.019629403787265378,0.999782023172493,-0.020878365384213775,686.7982646420825,38.33622559652928
25,425.0,83.59797974644665,0.8454442754951618,0.915948275862069,32.32678209463988,17.26455908026962,0.2852969809225283,37.59058823529412,1560.1458823529413,0.7642003451819163,0.8017193640045946,0.01924761302370411,0.9595781119394073,0.2814424400953101,1560.1458823529413,37.59058823529412
26,929.0,148.12489168102783,0.9550555635629507,0.9402834008097166,64.0098471815171,18.974236624717328,1.2238417007847355,38.59741657696448,1648.7427341227126,0.532070874664416,0.8472470370620311,0.019763142128502036,0.3400354805830678,0.9404126072871642,1648.7427341227126,38.59741657696448
27,348.0,74.08326112068524,0.8560506875268983,0.9586776859504132,29.77911339548647,15.39258204526851,0.7473259458078813,36.26724137931034,1584.367816091954,0.7967992649543043,0.8141664008694521,0.018570016067235198,0.7335089896921532,0.679679749618007,1584.367816091954,36.26724137931034
28,445.0,82.08326112068524,0.8239219703855122,0.96529284164859,31.848975977961196,18.048918565554818,-1.0203633476045808,37.58651685393259,1102.6426966292136,0.8299667044340068,0.5666200907652691,0.019245528343027438,0.5230563053020689,-0.8522981294616039,1102.6426966292136,37.58651685393259
29,175.0,47.798989873223334,0.6065383041436568,0.9562841530054644,16.821276265780835,13.373827451729953,-1.5612397375574394,35.41142857142857,1839.04,0.9625215793797269,0.9450359712230215,0.01813181186453076,0.009556443773457482,-0.9999543361486087,1839.04,35.41142857142857
30,116.0,45.31370849898476,0.9179350383665704,0.928,19.691108012057928,7.812067487692351,0.12709005232674916,39.87068965517241,12.85344827586207,0.7099187393705152,0.006605060778963037,0.020415099669827144,0.9919349235854069,0.12674820460903194,12.85344827586207,39.87068965517241
31,483.0,81.35533905932738,0.34045554858193217,0.9602385685884692,25.741360253775955,24.203587159084627,-0.03503169782921183,42.98757763975155,664.8074534161491,0.9170328134865395,0.3416276739034682,0.022011048458654148,0.9993864528238914,-0.03502453300302461,664.8074534161491,42.98757763975155
32,273.0,58.8700576850888,0.4446817073399734,0.9680851063829787,19.703531885777473,17.648230110586848,-1.253253929136585,38.67399267399267,1124.7692307692307,0.9898823674508636,0.5779903549687722,0.019802351599586623,0.31223276981760917,-0.9500056302212234,1124.7692307692307,38.67399267399267
33,342.0,82.42640687119285,0.9009349615900281,0.8746803069053708,33.03027289828184,14.333623645244739,0.873569951277068,47.5,1579.0497076023391,0.6325621953824562,0.8114335599189821,0.024321556579621095,0.6420938269625909,0.7666260609818416,1579.0497076023391,47.5
34,380.0,73.698484809835,0.7154035821976658,0.9523809523809523,26.528209252325862,18.535564012335694,-0.005041595682450197,48.252631578947366,636.1263157894737,0.8791770491297742,0.32688916535944174,0.02470692861185221,0.9999872911834065,-0.00504157432486048,636.1263157894737,48.252631578947366
35,778.0,125.29646455628166,0.9222533779147498,0.8932261768082663,51.88620153257452,20.058477195022288,-1.2157983530051995,49.951156812339335,1054.8033419023136,0.6227472627975269,0.5420366607925559,0.025576629192186038,0.3475884653660947,-0.9376471931086037,1054.8033419023136,49.951156812339335
36,437.0,75.11269837220809,0.40103468178606755,0.9754464285714286,24.682457321512928,22.61068272239927,-1.299561651060157,49.63386727688787,1795.8764302059496,0.9733400037430036,0.922855308430601,0.025414166552425944,0.2679211776201936,-0.9634408350192598,1795.8764302059496,49.63386727688787
37,196.0,53.07716446627535,0.770868681668924,0.8484848484848485,20.13377060801494,12.825092964587597,-0.11746212888528137,51.19897959183673,1869.8316326530612,0.8742799288602238,0.9608590095853347,0.026215555346562586,0.9931092524465412,-0.11719220411389135,1869.8316326530612,51.19897959183673
38,504.0,87.01219330881975,0.6518418950337402,0.9298892988929889,29.547368691296015,22.407391625081406,1.4590839616352689,53.06150793650794,1915.9503968253969,0.8365273958051105,0.984558271749947,0.027169230894269297,0.11148015485211964,0.9937666602750101,1915.9503968253969,53.06150793650794
39,60.0,26.142135623730947,0.6438507273015467,0.967741935483871,9.971258170039683,7.629519386040802,-0.4090191913428911,50.4,1849.4333333333334,1.1032628324143605,0.9503768413840357,0.025806451612903226,0.9175113411051266,-0.39770961635780466,1849.4333333333334,50.4
40,338.0,67.94112549695427,0.5928106408955685,0.9548022598870056,23.26931782703446,18.739756170328604,-1.0839386540317184,57.96153846153846,1418.914201183432,0.9201552116771962,0.7291439882751449,0.029678207097561936,0.46785099063046853,-0.8838073605521111,1418.914201183432,57.96153846153846
41,426.0,82.42640687119285,0.8098965593684766,0.9301310043668122,31.01577290922633,18.1930064706021,-0.6576859131783419,61.43896713615023,1881.093896713615,0.7879283486342875,0.9666464011889081,0.03145876453463914,0.791408920655976,-0.6112871013739314,1881.093896713615,61.43896713615023
42,1119.0,127.05382386916236,0.5401669885815349,0.9646551724137931,41.58180698330734,34.99349631992562,1.0613507243724203,68.06255585344057,1616.4361036639857,0.8710928919389727,0.8306454797862208,0.034850259013538436,0.4876933244445917,0.8730150177930401,1616.4361036639857,68.06255585344057
43,402.0,74.42640687119285,0.7321306062086277,0.9640287769784173,27.567323163762442,18.777875816254145,-0.5253485415731518,62.15174129353234,371.863184079602,0.9119726446377948,0.19109105040061766,0.03182372826089726,0.8651491954970381,-0.5015145755916052,371.863184079602,62.15174129353234
44,290.0,60.8700576850888,0.5425591857677785,0.9731543624161074,20.987102527505126,17.629535016778966,-0.7485019455964436,60.01724137931034,1762.9655172413793,0.9835590420033665,0.9059432257149945,0.030730794357045746,0.732709179422125,-0.6805418858457988,1762.9655172413793,60.01724137931034
45,268.0,59.4558441227157,0.7039368243930925,0.9745454545454545,21.949081627995692,15.589611573099688,-0.33625211388966736,61.764925373134325,676.1194029850747,0.9526986708165314,0.34744059762850704,0.031625665833658126,0.9439979129780728,-0.3299514211108096,676.1194029850747,61.764925373134325
46,599.0,109.35533905932738,0.9419296958723388,0.9388714733542319,47.7407598001346,16.031831083414612,-1.5203564806869878,60.16026711185309,1671.8547579298831,0.6294434280471257,0.8591237193884291,0.0308040282190748,0.050418460836721364,-0.9987281806411873,1671.8547579298831,60.16026711185309
47,401.0,76.18376618407356,0.7696520944183024,0.9570405727923628,28.446672200015325,18.16216217966101,0.3638053780890494,67.87531172069825,597.4014962593516,0.8682191481956754,0.30698946364817653,0.034754383881565924,0.9345495139575511,0.3558331153247334,597.4014962593516,67.87531172069825
