cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,x,y
1,128.0,43.798989873223334,0.7591716879898885,0.9343065693430657,15.916945037215987,10.360187154185263,0.8402869534530758,6.8671875,225.796875,0.8384779468052586,0.11591215349075976,0.0034700290550783225,0.6672491204494491,0.7448346200730982,225.796875,6.8671875
2,145.0,46.04163056034262,0.3999099776308042,0.9235668789808917,14.366096427905077,13.167309218090942,-1.1708258605379291,8.193103448275862,242.11724137931034,0.8595605494050961,0.12429016497911209,0.004140021954661881,0.38939113976010675,-0.9210724945824432,242.11724137931034,8.193103448275862
3,152.0,45.45584412271572,0.6381509478431951,0.9440993788819876,15.900828050536052,12.242226760714258,1.0620000523251418,14.973684210526315,1000.7828947368421,0.9244299293826806,0.5137489192694261,0.007566288130634823,0.4871263486179459,0.8733315066354513,1000.7828947368421,14.973684210526315
4,73.0,32.97056274847714,0.866531938859926,0.9358974358974359,13.9276159283071,6.951574327900197,-1.0071637604459767,16.465753424657535,1241.150684931507,0.843878659775572,0.6371410086917386,0.008320239224182686,0.5342603969173811,-0.8453199561619744,1241.150684931507,16.465753424657535
5,244.0,64.04163056034261,0.822713907833957,0.9606299212598425,24.233384312070886,13.775604227400324,-1.395254281233957,18.09426229508197,1400.8852459016393,0.7476097015715273,0.7191402699700408,0.009143134055119741,0.17464187863896038,-0.984632019703531,1400.8852459016393,18.09426229508197
6,222.0,66.62741699796952,0.9310908267586212,0.9568965517241379,28.86749495591835,10.530499423704015,-1.422778421125806,16.95945945945946,1425.873873873874,0.6284299643974585,0.7319681077381283,0.008569711702607105,0.14747800266017771,-0.9890653359264819,1425.873873873874,16.95945945945946
7,454.0,86.32590180780451,0.8190308110916181,0.9458333333333333,32.395664332940996,18.58699739136139,-0.472226949483107,29.561674008810574,1496.6277533039647,0.7655674658255265,0.768289401080064,0.014937682672466182,0.8905575233716438,-0.45487063827660285,1496.6277533039647,29.561674008810574
8,286.0,66.8700576850888,0.8359315022700367,0.9166666666666666,26.201259780369732,14.380136575957627,0.21007441958474402,31.86013986013986,1471.8461538461538,0.8037342979309368,0.7555678407834465,0.016099110591278352,0.9780153985166784,0.2085326839233189,1471.8461538461538,31.86013986013986
9,385.0,83.74011537017762,0.930187219636069,0.9436274509803921,36.84103949695832,13.523810005002023,-0.745572254616668,34.69090909090909,1214.3922077922077,0.6899275441652618,0.6234046241233099,0.017529514447149615,0.7346998095424331,-0.6783923568690264,1214.3922077922077,34.69090909090909
10,429.0,92.18376618407356,0.9282551729126821,0.9127659574468086,39.33363548509646,14.6299094432286,1.3017780589020869,30.743589743589745,1899.3496503496503,0.6343928236767783,0.9750254878591634,0.015534911441935192,0.2657851434702855,0.9640322906990615,1899.3496503496503,30.743589743589745
11,169.0,48.62741699796952,0.633490573465057,0.9234972677595629,16.859989958928363,13.045424103612621,1.1834796544512347,32.22485207100592,225.85798816568047,0.8981195832775739,0.1159435257524027,0.01628340175391911,0.37770521531706513,0.9259258989369988,225.85798816568047,32.22485207100592
12,300.0,68.76955262170047,0.7594293973500374,0.9404388714733543,24.748554251350388,16.101155107671627,0.1062463815021064,37.26,1768.11,0.797147559122107,0.9076540041067761,0.018827690752905506,0.9943611606102887,0.10604660423492923,1768.11,37.26
13,132.0,39.79898987322333,0.4514904949912445,0.9777777777777777,13.721173869879408,12.243073157563252,-0.6294108929515065,36.93939393939394,1403.1666666666667,1.0472242640569591,0.7203114305270363,0.018665686679835237,0.8083744374097601,-0.5886686410387882,1403.1666666666667,36.93939393939394
14,509.0,86.01219330881976,0.715549756068375,0.956766917293233,30.66985147629618,21.424785734783544,-0.8248527872330764,44.6385068762279,1170.4950884086445,0.8645848113078753,0.6008701685875999,0.022556092408402173,0.6786650930822042,-0.7344478820391023,1170.4950884086445,44.6385068762279
15,161.0,51.941125496954285,0.9157374842914547,0.9415204678362573,22.701781607493672,9.121056594390328,0.8666402225978321,42.037267080745345,1936.7080745341616,0.7499167051674642,0.9942033236828345,0.021241671086783903,0.6473908780679815,0.7621581535313835,1936.7080745341616,42.037267080745345
16,173.0,48.62741699796952,0.6874849411450589,0.9505494505494505,17.464265673148613,12.682525871749386,-0.30638744329794754,43.07514450867052,702.0173410404624,0.91937685152083,0.36037851182775277,0.021766116477347407,0.9534293948710131,-0.30161629431430564,702.0173410404624,43.07514450867052
17,340.0,70.52691193458118,0.7628296517071134,0.9577464788732394,26.30702413928438,17.01010883958174,-1.1835484954817475,45.29705882352941,1005.5588235294117,0.8589720730619638,0.5162006280951805,0.022888862467675297,0.3776414727290652,-0.9259518983592089,1005.5588235294117,45.29705882352941
18,259.0,64.2842712474619,0.8725456530279928,0.9184397163120568,26.182369150434642,12.790940396070509,-1.327488551217435,48.4980694980695,1415.2200772200772,0.7875899727306392,0.7264990129466515,0.024506351439145778,0.240914288202655,-0.9705463954596957,1415.2200772200772,48.4980694980695
