cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,x,y
1,232.0,61.35533905932737,0.8296941047005484,0.9206349206349206,23.45117735448461,13.090876821513783,0.588696899230612,12.469827586206897,977.7974137931035,0.7744495433994736,0.5024652691639792,0.006384960361601074,0.8316649678737059,0.5552777514106141,977.7974137931035,12.469827586206897
2,582.0,93.01219330881975,0.5521833373846836,0.9341894060995185,30.15914023994219,25.144360217937052,-0.8032908504937741,24.47938144329897,996.8917525773196,0.8453821577990845,0.5122773651476462,0.012534245490680477,0.694342229404314,-0.7196449600086469,996.8917525773196,24.47938144329897
3,509.0,83.35533905932738,0.725945866979989,0.9732313575525813,30.738322350464912,21.140337862116045,-1.4644982045706982,20.636542239685657,1074.664047151277,0.9205784444279332,0.5522425730479327,0.010566585888215902,0.10609805305742767,-0.9943556723514093,1074.664047151277,20.636542239685657
4,526.0,89.1543289325507,0.8504617999041815,0.9669117647058824,35.79093746829113,18.827350621335068,0.857367207899144,23.8574144486692,1457.509505703422,0.8315928322540769,0.7489771355104944,0.012215778007511112,0.6544304465577072,0.7561222061401714,1457.509505703422,23.8574144486692
5,234.0,63.79898987322333,0.8962105767379092,0.9790794979079498,26.726220131908768,11.856523675263505,1.5630492181485547,15.222222222222221,1501.0,0.722433898816995,0.7713257965056526,0.007794276611480912,0.00774703115264389,0.9999699913038991,1501.0,15.222222222222221
6,253.0,63.21320343559643,0.8572739596129964,0.9547169811320755,25.508780165816688,13.133463897899107,1.5116824553323713,16.067193675889328,1552.296442687747,0.7956366611320076,0.7976857362218638,0.00822692968555521,0.05907944906806434,0.9982532838402356,1552.296442687747,16.067193675889328
7,619.0,107.84062043356595,0.8999593206647594,0.8830242510699001,44.09469964361146,19.224137144728058,0.2605262024380786,31.888529886914377,952.1130856219709,0.6688608207711235,0.4892667449239316,0.01632797229232687,0.9662545679361907,0.2575890330399287,952.1130856219709,31.888529886914377
8,355.0,70.18376618407356,0.7276251491980155,0.9646739130434783,25.807279430245313,17.70314740917634,-0.6836807964060381,23.185915492957747,1516.850704225352,0.9056593561263677,0.7794710710304995,0.01187194853710074,0.7752529975005423,-0.6316508449028024,1516.850704225352,23.185915492957747
9,532.0,95.698484809835,0.9089999345805763,0.9516994633273703,40.67421834705912,16.95286191872551,-1.418217770847291,23.575187969924812,1029.686090225564,0.7299806916821298,0.5291295427675046,0.01207126880180482,0.151987234388952,-0.988382456634474,1029.686090225564,23.575187969924812
10,408.0,97.22539674441619,0.9504199939219354,0.9168539325842696,41.6463734666267,12.950738891048575,0.8418959650862228,31.50735294117647,1598.1593137254902,0.5423886326605742,0.8212535014005602,0.016132797204903467,0.6660498096715065,0.745907267049028,1598.1593137254902,31.50735294117647
11,97.0,34.970562748477136,0.7872837335845482,0.97,14.126927884513004,8.7105350052268,0.26077859721308294,22.45360824742268,1537.958762886598,0.9967273059145267,0.7903179665398756,0.011496983229607106,0.9661895230341269,0.25783290243699775,1537.958762886598,22.45360824742268
12,567.0,87.74011537017762,0.586945295316797,0.9675767918088737,29.96154335855571,24.257662274344714,1.0134356445265285,29.75485008818342,1254.6878306878307,0.9255428297731043,0.6447522254305399,0.015235458314482038,0.5289481749594224,0.8486541275496728,1254.6878306878307,29.75485008818342
13,47.0,25.313708498984763,0.8619267095979329,0.9215686274509803,10.887258316137725,5.520198002470675,-1.3558964941436928,20.80851063829787,1172.2340425531916,0.9217139757215324,0.6023813168310337,0.01065463934372651,0.21324956609539128,-0.9769977597518468,1172.2340425531916,20.80851063829787
14,443.0,87.25483399593904,0.8596323518379791,0.9134020618556701,34.054667836834724,17.398976711238728,-0.35712193760005106,33.21218961625282,730.313769751693,0.7311973302702482,0.37528970696387104,0.01700572945020626,0.936906813375696,-0.34957920854964847,730.313769751693,33.21218961625282
15,376.0,74.76955262170047,0.7864587208850582,0.9543147208121827,27.98231648491022,17.2830774810691,0.16116790818379734,34.351063829787236,686.7978723404256,0.8451779240004498,0.3529279919529422,0.01758887036855465,0.9870405410869615,0.16047108851988995,686.7978723404256,34.351063829787236
16,420.0,80.42640687119285,0.75655077211613,0.958904109589041,29.147124379899704,19.060323555319044,0.7182019108690055,38.9,1582.6333333333334,0.8159467580662155,0.813275094210346,0.019918074756784435,0.7529901455733862,0.6580317930536265,1582.6333333333334,38.9
17,970.0,143.78174593052023,0.9229688708142502,0.933589990375361,58.73538034388515,22.605756456947688,1.226115001192975,39.455670103092785,1647.8237113402063,0.5896225605740657,0.8467747745838675,0.020202596058931276,0.33789676342695524,0.9411831794425505,1647.8237113402063,39.455670103092785
18,359.0,76.76955262170047,0.8777857236396436,0.9447368421052632,31.10098949528747,14.899036816597578,-1.1300687149858992,35.84122562674095,1104.7883008356546,0.7654666836584778,0.5677226622999253,0.018351882041342013,0.42659766025207563,-0.9044415051662847,1104.7883008356546,35.84122562674095
19,220.0,54.62741699796952,0.7077514811713066,0.9565217391304348,20.068155208900276,14.177378887908846,1.5143710759349776,36.54545454545455,1840.1818181818182,0.9264270201529875,0.9456227226011399,0.018712470325373553,0.05639531442294039,0.9984085178478486,1840.1818181818182,36.54545454545455
20,222.0,53.21320343559643,0.33866304316993,0.961038961038961,17.368028091591142,16.34171176456526,-1.1579402944711816,38.43693693693694,1125.1486486486488,0.9851991534262872,0.5781853281853282,0.01968097129387452,0.4012270254269795,-0.9159786428007031,1125.1486486486488,38.43693693693694
21,141.0,42.62741699796952,0.49868805292395263,0.9527027027027027,14.479042180721384,12.550166377118249,-1.1116469261563113,38.312056737588655,1442.4893617021276,0.9751040086121563,0.7412586648006821,0.019617028539471917,0.4431857647727431,-0.8964297953006687,1442.4893617021276,38.312056737588655
22,367.0,71.698484809835,0.7557828569062344,0.963254593175853,26.842299960422498,17.576937184157288,0.16966209386190467,48.57765667574932,637.2779291553134,0.8971312244631362,0.327480950233974,0.024873352112518853,0.9856418783953711,0.1688493042723143,637.2779291553134,48.57765667574932
23,410.0,74.18376618407356,0.40472357373510165,0.9647058823529412,23.91113432128532,21.865275642165614,0.5319207755272541,47.609756097560975,1273.4,0.9362157970789368,0.6543679342240494,0.02437775529829031,0.8618344634313451,0.507189666339926,1273.4,47.609756097560975
