cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,x_norm,y_norm,patch_x,patch_y,patch_id,cluster_id,x,y
1,858.0,116.5269119345812,0.8653111513372926,0.9673055242390078,46.967070769594415,23.541543753268943,-1.4532331954459827,10.948717948717949,363.2913752913753,0.7940441985053788,0.1267148152394054,0.003832242894195992,0.11729250999710615,-0.9930974106796265,0.1267148152394054,0.003832242894195992,0,0,"(0, 0)",3,363.2913752913753,10.948717948717949
2,137.0,43.55634918610404,0.824100809541629,0.9716312056737588,17.72851241819597,10.042194630721935,1.3502826241433543,4.021897810218978,405.6350364963504,0.9074599972335301,0.14148414248215918,0.0014077346203076578,0.21873091537182268,0.9757852154345261,0.14148414248215918,0.0014077346203076578,0,0,"(0, 0)",3,405.6350364963504,4.021897810218978
3,361.0,69.11269837220809,0.5743595334138747,0.967828418230563,23.730977977733573,19.42625345831233,0.9636031001552153,10.18836565096953,472.218836565097,0.9497326466468338,0.1647083489937555,0.003566106283153493,0.5705646403830189,0.8212526962784331,0.1647083489937555,0.003566106283153493,0,0,"(0, 0)",3,472.218836565097,10.18836565096953
4,358.0,73.45584412271572,0.7647254227726984,0.9675675675675676,27.209615821167954,17.532687088127346,1.5102430010537078,6.667597765363128,504.43854748603354,0.8337583243787337,0.17594647627695625,0.0023337759066724283,0.060516327325303924,0.9981672074993532,0.17594647627695625,0.0023337759066724283,0,0,"(0, 0)",3,504.43854748603354,6.667597765363128
5,909.0,115.39696961966999,0.7064205086791111,0.9680511182108626,40.64005109585873,28.76471882525879,1.562283495771317,13.948294829482949,561.4807480748075,0.8577978213430194,0.1958426048394864,0.0048821472976839165,0.00851272820556475,0.9999637660728004,0.1958426048394864,0.0048821472976839165,0,0,"(0, 0)",3,561.4807480748075,13.948294829482949
6,162.0,47.798989873223334,0.5444272543250039,0.9418604651162791,16.13613728345803,13.535122041671645,-0.4040311262172636,5.8765432098765435,665.3271604938271,0.8910199763400901,0.23206388576694353,0.0020568929681051957,0.9194837201646616,-0.39312808135791355,0.23206388576694353,0.0020568929681051957,0,0,"(0, 0)",3,665.3271604938271,5.8765432098765435
7,590.0,108.5269119345812,0.9356158995933029,0.9204368174726989,46.65304044482715,16.469441009814457,-0.07406260584991377,20.403389830508473,691.5898305084746,0.6294873172077334,0.24122421712887152,0.007141543517853858,0.9972586186524255,-0.07399491552435278,0.24122421712887152,0.007141543517853858,0,0,"(0, 0)",3,691.5898305084746,20.403389830508473
8,90.0,34.72792206135785,0.8191349078952435,0.9574468085106383,14.195944043738619,8.14280640589177,-0.1456493419848665,15.222222222222221,703.2111111111111,0.9377666356909999,0.24527768088981902,0.005328044179986777,0.9894118722677737,-0.14513492693207447,0.24527768088981902,0.005328044179986777,0,0,"(0, 0)",3,703.2111111111111,15.222222222222221
9,90.0,38.14213562373095,0.907160249965262,0.967741935483871,16.823803120285408,7.079209286737507,-1.490154321370341,12.466666666666667,1785.2666666666667,0.7773961067867173,0.6226950354609929,0.004363551510908879,0.08055462955860597,-0.9967501952127603,0.6226950354609929,0.004363551510908879,1,0,"(0, 1)",4,1785.2666666666667,12.466666666666667
10,352.0,74.2842712474619,0.7322735865616369,0.9591280653950953,26.523692782820156,18.062915101048837,0.5470678752449885,19.235795454545453,1807.3125,0.8016020020673034,0.6303845483083362,0.0067328650523435256,0.8540534393009518,0.5201852773947139,0.6303845483083362,0.0067328650523435256,1,0,"(0, 1)",4,1807.3125,19.235795454545453
11,543.0,90.5269119345812,0.7487997329003176,0.9819168173598554,33.19474002054409,22.00135148397065,-1.4261881281206694,18.467771639042358,1837.0,0.8326342698868269,0.6407394489012905,0.006464043275828617,0.14410472890427256,-0.9895624422477978,0.6407394489012905,0.006464043275828617,1,0,"(0, 1)",4,1837.0,18.467771639042358
12,748.0,103.1126983722081,0.4047096953174028,0.9676584734799483,32.690647873788734,29.893806725055907,0.7846406803029209,22.842245989304814,1885.9959893048128,0.884071026271435,0.657829085910294,0.007995185855549463,0.70764219970602,0.706570956942914,0.657829085910294,0.007995185855549463,1,0,"(0, 1)",4,1885.9959893048128,22.842245989304814
13,61.0,31.692388155425117,0.9372028174470248,0.9242424242424242,15.134576071734847,5.27871100510765,-1.5333168513548772,11.754098360655737,1913.8852459016393,0.7631848952397218,0.6675567652255456,0.00411414013323617,0.037470701417224576,-0.9992977266737382,0.6675567652255456,0.00411414013323617,2,0,"(0, 2)",4,1913.8852459016393,11.754098360655737
14,473.0,88.28427124746189,0.7587614145078971,0.9347826086956522,30.817881983761293,20.07380212805699,1.339394132852568,19.027484143763214,1935.7420718816068,0.7626132241090311,0.6751803529409162,0.006659952447939522,0.2293425680900047,0.9733457692217506,0.6751803529409162,0.006659952447939522,2,0,"(0, 2)",4,1935.7420718816068,19.027484143763214
15,105.0,42.72792206135786,0.9207089536394353,0.9722222222222222,18.95084516505191,7.395566359014799,1.5304002660439375,24.523809523809526,1972.752380952381,0.7227292264908342,0.6880894248177122,0.008583762521459407,0.04038507498444459,0.9991841900863427,0.6880894248177122,0.008583762521459407,2,0,"(0, 2)",4,1972.752380952381,24.523809523809526
16,829.0,113.49747468305834,0.6084875648572513,0.9367231638418079,37.230445760595586,29.54471944019115,0.6155494191128582,38.92400482509047,2085.8528347406514,0.8087084805692275,0.7275384843880891,0.01362408289292631,0.8164563316011315,0.577407186124682,0.7275384843880891,0.01362408289292631,2,0,"(0, 2)",4,2085.8528347406514,38.92400482509047
17,431.0,94.2842712474619,0.9431652388178356,0.9729119638826185,41.47795600815162,13.784125950715422,-1.553580995214286,27.190255220417633,2710.4825986078886,0.6092683763270406,0.9454072544847885,0.009517065180405192,0.017214481248675043,-0.9998518198389894,0.9454072544847885,0.009517065180405192,2,0,"(0, 2)",8,2710.4825986078886,27.190255220417633
18,764.0,101.49747468305831,0.5152621787181552,0.9707750952986023,33.69780584985524,28.880118352885038,1.27491117339302,41.15183246073298,495.22251308900525,0.9319502921991871,0.17273195433868338,0.014403861554334261,0.2915866527874217,0.9565444181616595,0.17273195433868338,0.014403861554334261,0,0,"(0, 0)",3,495.22251308900525,41.15183246073298
19,497.0,85.94112549695429,0.8013480080831971,0.9613152804642167,32.8463529269944,19.648636979658303,-0.07835594587942955,44.5513078470825,2760.7203219315898,0.845598451156611,0.9629300041616986,0.015593737433350541,0.996931743191031,-0.0782757907535419,0.9629300041616986,0.015593737433350541,2,0,"(0, 2)",8,2760.7203219315898,44.5513078470825
20,135.0,42.627416997969526,0.3865052587289155,0.9246575342465754,13.761258875132667,12.691832958878784,0.796291646810268,41.22962962962963,597.5703703703704,0.9336102210116386,0.20843054425196036,0.014431091924966617,0.6993621224886629,0.7147675297802443,0.20843054425196036,0.014431091924966617,0,0,"(0, 0)",3,597.5703703703704,41.22962962962963
21,604.0,94.66904755831214,0.7908980947530324,0.9633173843700159,35.56988247904814,21.76691405515007,0.4373699997116182,50.66721854304636,666.7417218543046,0.8468973755264323,0.23255728003289314,0.017734413210726763,0.9058687538072387,0.4235584975841239,0.23255728003289314,0.017734413210726763,0,0,"(0, 0)",3,666.7417218543046,50.66721854304636
22,748.0,102.08326112068524,0.6874527806420792,0.9726918075422627,36.25826074613288,26.331803287892278,0.5979006891850582,52.48529411764706,1965.9211229946525,0.9019913879801195,0.6857067049161676,0.01837077147975046,0.8265191554199242,0.5629085944662199,0.6857067049161676,0.01837077147975046,2,0,"(0, 2)",4,1965.9211229946525,52.48529411764706
23,646.0,96.66904755831213,0.7727018035082605,0.9656203288490284,36.074591076895935,22.899038908639643,-0.45926564018034544,59.914860681114554,446.7136222910217,0.8686953616954178,0.15581221565783804,0.020971249800880137,0.8963782735344586,-0.44328996236705304,0.15581221565783804,0.020971249800880137,0,0,"(0, 0)",3,446.7136222910217,59.914860681114554
24,387.0,73.59797974644665,0.4757406627287788,0.9579207920792079,23.8863238149717,21.010066384461698,0.6266911393126612,57.17571059431525,545.56330749354,0.897819518484332,0.19029065486346008,0.020012499332976986,0.8099724793192699,0.5864678872243518,0.19029065486346008,0.020012499332976986,0,0,"(0, 0)",3,545.56330749354,57.17571059431525
25,575.0,96.08326112068522,0.731409036001482,0.9364820846905537,34.01668213231419,23.197302753673327,-0.4355523506404708,60.67304347826087,407.9704347826087,0.7826764004650707,0.1422987215844467,0.021236627048743743,0.9066371376670317,-0.4219112473055581,0.1422987215844467,0.021236627048743743,0,0,"(0, 0)",3,407.9704347826087,60.67304347826087
26,338.0,67.45584412271572,0.6230967257541674,0.9629629629629629,23.461775593232524,18.350505511853918,-1.566384650556756,55.45266272189349,387.1301775147929,0.9334421370214232,0.1350297096319473,0.01940940242278386,0.004411661927495006,-0.9999902685721684,0.1350297096319473,0.01940940242278386,0,0,"(0, 0)",3,387.1301775147929,55.45266272189349
27,1085.0,129.39696961967,0.806502731722031,0.9653024911032029,48.57454039356372,28.718743214834298,0.37178264929718213,69.44608294930876,692.947465437788,0.8143130429725041,0.24169775564624624,0.02430734439947804,0.9316812310593331,0.3632768691945106,0.24169775564624624,0.02430734439947804,0,0,"(0, 0)",3,692.947465437788,69.44608294930876
28,402.0,76.52691193458118,0.4577738520107399,0.9594272076372315,24.293789420803964,21.59884705562138,0.648360025241671,61.77860696517413,2098.5248756218907,0.8625961980383753,0.7319584498157973,0.021623593617491818,0.7970752179933626,0.6038800351566804,0.7319584498157973,0.021623593617491818,2,0,"(0, 2)",4,2098.5248756218907,61.77860696517413
