idx1,idx2,distance,cluster_id,cell_id_1,cell_id_2,area_1,area_2,perimeter_1,perimeter_2,roundness_1,roundness_2,eccentricity_1,eccentricity_2,solidity_1,solidity_2,major_axis_length_1,major_axis_length_2,minor_axis_length_1,minor_axis_length_2,residual_px
2150,1746,0.1269386911676767,0,2151,1747,772.0,773.0,103.98275605729688,103.98275605729691,0.8972315073687901,0.8983937243472466,0.6567746120396687,0.6671020965602112,0.9698492462311558,0.9723270440251572,36.178360249166204,36.422256153535365,27.281628876197683,27.133353517516888,0.8831900177817764
1929,1537,0.13722464635294485,0,1930,1538,235.0,230.0,55.45584412271571,54.8700576850888,0.9602472800643506,0.9599903478846974,0.6309964077652328,0.6348462470900171,0.9631147540983607,0.9663865546218487,19.67325330914198,19.52752299203326,15.262229617552226,15.087715957948983,0.6128016432227753
1689,1329,0.21656747235006438,0,1690,1330,419.0,415.0,76.76955262170047,75.698484809835,0.8933998341306468,0.9100884177378338,0.6940743590229894,0.6867452092937281,0.9610091743119266,0.962877030162413,27.339819967274437,27.026668669125257,19.68202704870822,19.64563726023904,0.11698143050880748
1791,1421,0.22248477098911537,0,1792,1422,653.0,635.0,97.59797974644667,96.18376618407358,0.8614724423382273,0.8625415652610985,0.7725974244361768,0.779583556738012,0.9631268436578171,0.9679878048780488,36.40699453162429,36.2369054339309,23.11466348448618,22.695109883298755,0.6515825685390237
1610,1254,0.254160141120621,0,1611,1255,1013.0,984.0,136.22539674441617,133.39696961967,0.6859668784588057,0.6948851565558866,0.9154473813654908,0.9132875209854906,0.9485018726591761,0.9516441005802708,57.02451111757475,55.99606113752931,22.948812358811615,22.808062779109314,0.6072548487796194
3540,3080,0.08725605969820047,1,3541,3081,814.0,820.0,110.08326112068524,110.32590180780451,0.8440957149029569,0.8465814424558027,0.7617462423267237,0.752725063098894,0.9576470588235294,0.9579439252336449,40.33875419599172,40.165654354760825,26.134490506774327,26.44245627799258,0.08475621213265057
4017,3590,0.09085944261529669,1,4018,3591,715.0,715.0,102.76955262170047,103.01219330881975,0.8507206482770795,0.846717698139502,0.71444320181576,0.7227492624407678,0.959731543624161,0.9610215053763441,36.19918912660188,36.45121613000068,25.328335201423187,25.191812414854265,0.20648353505476594
2865,2384,0.0959587361508335,1,2866,2385,641.0,636.0,94.91168824543144,94.66904755831213,0.8941872983292288,0.891766110653661,0.6849518891215857,0.6775750187105756,0.9682779456193353,0.9665653495440729,33.672229351965385,33.349278986999096,24.533192310530733,24.526849471001636,0.6133999480350979
3801,3366,0.11424427458806394,1,3802,3367,715.0,707.0,119.1543289325507,119.15432893255071,0.6328434007133811,0.6257626353907136,0.9383216809220981,0.941856020876872,0.9457671957671958,0.9464524765729585,51.74335385968531,52.22258085550673,17.890965016297102,17.54766031489241,0.1594951296593274
2466,2034,0.12353498578906066,1,2467,2035,626.0,614.0,107.01219330881976,106.42640687119285,0.6869381979077147,0.6812075227519598,0.9156206962712589,0.9210355008755062,0.9470499243570348,0.9475308641975309,44.81434679899319,45.33986861113619,18.0173037214406,17.65891007986141,0.8629140340932073
4039,3612,0.1257653335557121,1,4040,3613,922.0,917.0,113.15432893255071,112.5685424949238,0.9048955205308741,0.9093794035418857,0.6364658225119776,0.6373418716470649,0.9725738396624473,0.975531914893617,39.05412583917305,38.965202682892105,30.122638827762884,30.025851449582902,0.12330761360962643
2156,1751,0.11767386894345654,2,2157,1752,699.0,700.0,101.84062043356595,101.84062043356595,0.846925027382325,0.8481366511697103,0.782800893494114,0.7736547914329543,0.9601648351648352,0.9615384615384616,38.11758444974996,37.90146560139516,23.719515285891006,24.014646873313247,0.9789091174528003
2360,1943,0.11919934784907663,2,2361,1944,622.0,621.0,92.08326112068522,92.32590180780451,0.9218045891896034,0.9154915654296051,0.3993948497053608,0.40068703768659253,0.9673405909797823,0.968798751950078,29.46629763554432,29.433325817860727,27.014083188375828,26.96725415811692,0.49829997041818097
2302,1894,0.1301725643394718,2,2303,1895,743.0,741.0,103.84062043356595,104.18376618407356,0.8658928014053718,0.857882811169174,0.7608285017672544,0.7649189981548805,0.9661898569570871,0.9661016949152542,38.273030381839604,38.42218562930204,24.83739772879119,24.748747303341045,0.8845739793573918
2143,1739,0.19907133030367447,2,2144,1740,730.0,708.0,104.8111831820431,102.8111831820431,0.8350596072252472,0.8417098459139586,0.8152533797393776,0.8178880947498504,0.9772423025435074,0.9779005524861878,40.36408045949489,39.90697861279604,23.375017318293573,22.961570545575622,0.3656343875541239
2263,1860,0.20034474534101118,2,2264,1861,401.0,415.0,71.94112549695429,73.35533905932738,0.9736430782893377,0.9691578172019293,0.4198606137453639,0.4379345205040263,0.9709443099273608,0.9718969555035128,23.74146772607239,24.267869900347947,21.547485431586594,21.816981807158946,1.0799301761865259
1510,1156,0.21177180960312336,2,1511,1157,811.0,806.0,136.26702730475878,135.095454429505,0.5488442954886007,0.5549622378918173,0.9562124629226358,0.9528695932995476,0.9102132435465768,0.909706546275395,61.36928525842365,60.09975646074262,17.96115807290673,18.23307538352866,0.48479716618685975
2,3,0.11239096968399644,3,3,4,368.0,358.0,74.62741699796952,73.45584412271572,0.8303493738549313,0.8337583243787337,0.7677316194635464,0.7647254227726984,0.9658792650918635,0.9675675675675676,27.665076889922087,27.209615821167954,17.726993793491086,17.532687088127346,0.23987914957438805
153,70,0.1221116291383346,3,154,71,575.0,559.0,89.84062043356593,88.42640687119284,0.8952250453349585,0.8983751192341602,0.696175848576836,0.699974531523404,0.9631490787269682,0.9637931034482758,31.94862674474214,31.578893705851428,22.935001869432153,22.55262923584333,0.17477254389505645
215,107,0.15349793892096675,3,216,108,431.0,413.0,76.2842712474619,74.52691193458118,0.9307158945140978,0.934401792632818,0.6115178229475264,0.615837798068718,0.9663677130044843,0.9649532710280374,26.374977753999808,25.88037871719672,20.868690970671945,20.390450674048463,0.04760453467291464
165,76,0.16745944168621904,3,166,77,600.0,577.0,89.84062043356595,87.84062043356595,0.9341478733929999,0.939712249210895,0.4573229696968688,0.45560909366262275,0.9693053311793215,0.9697478991596639,29.38500831851838,28.81065790498251,26.132107911501954,25.646670181459235,0.16501813351434916
347,200,0.18063788532875663,3,348,201,626.0,628.0,92.18376618407356,92.42640687119285,0.9257107403768372,0.923798745008291,0.6145298574158007,0.5896773270418343,0.9705426356589147,0.9691358024691358,31.83792096698788,31.520598110779375,25.116730922300697,25.45726230133676,0.21264820422052225
192,96,0.06816977341667048,4,193,97,227.0,231.0,56.04163056034261,56.62741699796952,0.9082683809033364,0.9052495957709019,0.7679363702580313,0.768848471596629,0.9537815126050421,0.9545454545454546,21.30143092545649,21.560855805678777,13.644123247537744,13.786679992675005,0.8671106587569326
1207,888,0.1208142247704595,4,1208,889,639.0,629.0,99.25483399593904,98.66904755831214,0.8150934205137309,0.8118927016499363,0.8205662455142266,0.8190538754337097,0.9594594594594594,0.9617737003058104,38.09145423274497,37.7396665983006,21.77122512376396,21.651873601302608,0.6434318761752154
1208,894,0.12974044074809093,4,1209,895,689.0,692.0,98.08326112068524,98.66904755831213,0.8999933320796556,0.8932110485560508,0.7375216688037863,0.7368542539909966,0.9717912552891397,0.969187675070028,36.08657197173359,36.14962533420819,24.370108975287692,24.439013183208026,0.27716090978956615
1194,875,0.14231177964289998,4,1195,876,476.0,484.0,81.94112549695429,82.76955262170047,0.890867195137014,0.8877976887564896,0.689218550586343,0.6826807054457747,0.9616161616161616,0.9641434262948207,29.10654250580886,29.260267834838658,21.089247550092704,21.38096953188524,0.9943914947944329
1311,973,0.15363439116265307,4,1312,974,244.0,246.0,56.62741699796951,56.62741699796952,0.9561943782168836,0.9640320370547266,0.6445758103653431,0.6626565795644769,0.9644268774703557,0.9647058823529412,20.185853600761043,20.460424638709654,15.432900605537242,15.323290765271846,0.247764817259886
1428,1078,0.16549432594413016,4,1429,1079,946.0,956.0,142.5685424949238,143.1543289325507,0.5848622368552153,0.5862175085798513,0.9386629466307987,0.9376116753924432,0.8702851885924563,0.8667271078875793,61.91169156693054,62.220778088579344,21.349380587230385,21.633185322004397,0.42916444962868994
4223,3793,0.13337342479027728,5,4224,3794,531.0,525.0,88.66904755831213,87.84062043356595,0.84871191276674,0.8550241435627728,0.7764620731053287,0.7864375211163166,0.9584837545126353,0.9597806215722121,32.85886108902601,33.033134503905266,20.70647087348173,20.403570746889407,0.4588609925833851
3539,3078,0.20842902522969342,5,3540,3079,872.0,844.0,142.02438661763952,140.36753236814712,0.5432509623810476,0.5382933074441228,0.9425036666828192,0.9475890913829462,0.872,0.8728024819027922,59.54768567907688,59.92841785025487,19.900586948283237,19.14662905137778,1.192585697797659
3549,3093,0.2360881797738601,5,3550,3094,669.0,653.0,96.08326112068522,95.49747468305833,0.9106269772367519,0.8997860808903141,0.3997676700592238,0.4218771988029747,0.9653679653679653,0.9674074074074074,30.587169172016907,30.442809831151287,28.036703983116084,27.601064303138678,0.9644650800584686
3377,2895,0.24339909259922898,5,3378,2896,702.0,705.0,100.56854249492379,101.39696961966999,0.8722132180761539,0.8616859853494702,0.5991884711385687,0.5926171562523069,0.9669421487603306,0.9618008185538881,33.71452058138845,33.79778613052088,26.99211502818251,27.223585023879334,0.41421735778068713
4200,3768,0.11269179417738866,6,4201,3769,545.0,549.0,86.42640687119284,86.42640687119285,0.9168820080000981,0.923611417233126,0.7126892440880952,0.7087196017735987,0.9697508896797153,0.9716814159292035,31.466013935633253,31.491760460195586,22.07277611287883,22.21713070137149,0.5906102651691433
3131,2647,0.1682369527876499,6,3132,2648,604.0,621.0,89.59797974644665,91.01219330881976,0.9454756927174542,0.9421114955175437,0.477758092350753,0.4962970254243252,0.9710610932475884,0.971830985915493,29.596206279123205,30.20022790739871,26.00001378913488,26.218412042873215,0.3365514006051243
4231,3799,0.2101161648386953,6,4232,3800,663.0,669.0,97.7401153701776,99.1543289325507,0.8721229151341423,0.8550915653470293,0.7631595400758084,0.7691172360966947,0.9636627906976745,0.9639769452449568,36.32285342679159,36.66224409587555,23.472195393001087,23.431123216282987,0.15914558617069932
3056,2571,0.23280941040061384,6,3057,2572,832.0,797.0,106.91168824543142,104.91168824543142,0.9147087114199295,0.9099560856974545,0.5513293580144542,0.5406822061594962,0.9674418604651163,0.9707673568818515,35.682770373101405,34.857187854964465,29.76969583867863,29.322805214375844,0.8355498970256613
3426,2964,0.2827625489007378,6,3427,2965,399.0,394.0,72.18376618407356,71.35533905932738,0.9622849299574001,0.9724183321255389,0.4667581066536934,0.5026750085831285,0.9708029197080292,0.9728395061728395,23.98950490792737,24.110163608634785,21.215958862862372,20.84264498268748,0.6116723033605455
4127,3702,0.2892238514294888,6,4128,3703,688.0,661.0,103.15432893255071,102.32590180780451,0.8125000306311252,0.7933049458222877,0.8160943767646208,0.8302644429743399,0.9595536959553695,0.9579710144927536,39.11956368512174,39.127763184520965,22.607925507796427,21.808628653947373,0.23943763758524594
968,686,0.17224562358423254,7,969,687,1110.0,1118.0,125.49747468305833,126.66904755831213,0.8856515135019647,0.8756098884171691,0.6987109073104459,0.6994119268115804,0.9660574412532638,0.9688041594454073,44.63309512465883,44.876933722389964,31.930700548942617,32.07438801557201,0.27442932726084357
1204,886,0.20187133789809183,7,1205,887,1306.0,1317.0,136.95331880577407,137.53910524340094,0.8749997297922664,0.8748694461365125,0.4811573095026241,0.5059944948479735,0.9652623798965262,0.967670830271859,43.7281430679981,44.277356609739705,38.333588781203886,38.19084537153224,0.9483617809972985
