cell_id,area,perimeter,eccentricity,solidity,major_axis_length,minor_axis_length,orientation,centroid_y,centroid_x,roundness,pos_x_norm,pos_y_norm,axis_vec_x,axis_vec_y,x_norm,y_norm,patch_x,patch_y,patch_id,cluster_id,x,y
1,619.0,113.98275605729691,0.9369182083468445,0.9197622585438335,48.15833653311694,16.833682358457835,0.5556008081360555,18.59773828756058,362.2471728594507,0.5987178487757152,0.186437042130443,0.00979343775016355,0.8495836950724228,0.527453832166464,0.186437042130443,0.00979343775016355,0,0,"(0, 0)",7,362.2471728594507,18.59773828756058
2,334.0,68.8700576850888,0.5625050672145637,0.9542857142857143,22.989035784726276,19.00719311173421,-0.6271731916414308,9.107784431137725,436.8532934131737,0.8849025311314069,0.2248344279017878,0.004796095013763942,0.8096896770109818,-0.5868582681890508,0.2248344279017878,0.004796095013763942,0,0,"(0, 0)",7,436.8532934131737,9.107784431137725
3,62.0,30.970562748477143,0.8356387117280796,0.9253731343283582,12.69041847378141,6.970586417661942,1.5179180859144572,2.5,541.2258064516129,0.8122755109675943,0.2785516245247622,0.0013164823591363876,0.0528536021101062,0.9986022715495827,0.2785516245247622,0.0013164823591363876,0,0,"(0, 0)",7,541.2258064516129,2.5
4,262.0,61.21320343559643,0.7289053970706276,0.9562043795620438,22.353096728397073,15.30325264657724,-1.4115111611331852,6.103053435114504,567.8435114503817,0.8786601693341024,0.2922509065622139,0.0032138248736779903,0.15861246200764018,-0.9873409172600287,0.2922509065622139,0.0032138248736779903,0,0,"(0, 0)",7,567.8435114503817,6.103053435114504
5,244.0,60.970562748477136,0.8292928021142548,0.9384615384615385,23.81545239334963,13.308415922569063,0.22539806391530773,10.94672131147541,708.8319672131148,0.8248201904762255,0.3648131586274394,0.005764466198775887,0.9747052192488075,0.2234943748042309,0.3648131586274394,0.005764466198775887,1,0,"(0, 1)",7,708.8319672131148,10.94672131147541
6,143.0,48.384776310850235,0.8763879468288303,0.910828025477707,19.856349032198928,9.562933274252751,-1.4845226185995428,3.895104895104895,741.5104895104895,0.7675884412992653,0.38163174961939755,0.0020511347525565536,0.086166723287314,-0.9962807314195771,0.38163174961939755,0.0020511347525565536,1,0,"(0, 1)",7,741.5104895104895,3.895104895104895
7,442.0,80.5269119345812,0.8114916361792409,0.9692982456140351,31.190494343650865,18.22660310187067,0.12004416814869069,13.67420814479638,842.5565610859728,0.856544722168464,0.43363693313740237,0.007200741519113417,0.9928033474188982,0.11975605769158609,0.43363693313740237,0.007200741519113417,1,0,"(0, 1)",7,842.5565610859728,13.67420814479638
8,139.0,44.14213562373095,0.8071368682525484,0.9586206896551724,17.507647751323603,10.335891235338682,-1.506376126964225,3.9280575539568345,882.7553956834532,0.8964333036038501,0.45432598851438666,0.0020684873901826405,0.06437565217677192,-0.9979257364187053,0.45432598851438666,0.0020684873901826405,1,0,"(0, 1)",7,882.7553956834532,3.9280575539568345
9,400.0,90.66904755831214,0.8241509298938372,0.8849557522123894,31.253652490307942,17.701138551377646,1.2275792266432595,8.355,1016.0625,0.6114370454617525,0.522934894493052,0.004399684044233808,0.33651829733680766,0.9416769273787777,0.522934894493052,0.004399684044233808,1,0,"(0, 1)",4,1016.0625,8.355
10,895.0,123.88225099390857,0.8605430304494072,0.9381551362683438,48.49501449510504,24.702281395909885,-0.880728473581067,18.015642458100558,909.4793296089385,0.7328493773346744,0.46807994318524887,0.009486910193839156,0.6365895122773714,-0.771202822128173,0.46807994318524887,0.009486910193839156,1,0,"(0, 1)",7,909.4793296089385,18.015642458100558
