idx1,idx2,distance,cluster_id,cell_id_1,cell_id_2,area_1,area_2,perimeter_1,perimeter_2,roundness_1,roundness_2,eccentricity_1,eccentricity_2,solidity_1,solidity_2,major_axis_length_1,major_axis_length_2,minor_axis_length_1,minor_axis_length_2,residual_px
961,701,0.35318579100017256,2,962,702,294.0,295.0,63.698484809834994,64.04163056034261,0.9105399192178792,0.9038723850967236,0.7137419085644607,0.7427066765578629,0.9483870967741935,0.9516129032258065,23.16164164471615,23.82337981379215,16.22261764431638,15.952537735423569,8.48308264084583
1136,823,0.5107527209057043,2,1137,824,292.0,278.0,69.35533905932738,67.4558441227157,0.7628390507032204,0.7677423493844844,0.8302257018347652,0.8746679111392339,0.9299363057324841,0.9328859060402684,26.732575239640152,27.35295806313714,14.901469377428008,13.258598255638223,3.4815874932877224
1558,1142,0.684909121044171,3,1559,1143,750.0,733.0,104.32590180780453,100.91168824543142,0.8659380681526431,0.9045464942233757,0.5377664306347764,0.5833114399474119,0.9517766497461929,0.9670184696569921,34.060974576601396,34.01784898331296,28.71659871926382,27.63094970545969,2.8050492597271433
1347,963,0.6916109022993598,3,1348,964,382.0,384.0,73.94112549695429,72.5269119345812,0.878013337463095,0.9173661597694227,0.7005200264567306,0.6891313793984885,0.955,0.9696969696969697,26.302842252899385,26.069596428644733,18.77056947763665,18.89097904017165,15.876701477952578
1312,937,0.7951796310435292,3,1313,938,286.0,256.0,63.112698372208094,60.284271247461895,0.9022822204491048,0.8852008021443689,0.7169955538903515,0.656421262364942,0.959731543624161,0.9411764705882353,22.986555448586852,21.07591408704908,16.02341612410076,15.8995545733112,7.913978535571891
1413,1002,0.8169429701387712,3,1414,1003,505.0,551.0,92.18376618407358,94.9116882454314,0.7467794311346688,0.7686383796870596,0.8885163664572139,0.8557010055208072,0.9564393939393939,0.9649737302977233,37.683953879665836,37.01943878200317,17.291091046620352,19.15647002803096,22.117514554686778
1533,1121,0.9067153716760166,3,1534,1122,299.0,352.0,65.4558441227157,70.87005768508881,0.876968908632073,0.8806978882439371,0.5210899575929517,0.5946671569394032,0.9373040752351097,0.9513513513513514,21.27481874544754,24.064479390853517,18.158095265013806,19.347167560074517,8.841166069182314
395,279,0.1593453961468872,4,396,280,418.0,421.0,74.76955262170047,75.35533905932738,0.9395860963622021,0.9316738442569481,0.671687573497298,0.6737060634293904,0.9698375870069605,0.967816091954023,26.80596758547978,26.942742375603707,19.858786447480007,19.91067094025693,5.394178658378231
117,81,0.37398320390864065,4,118,82,415.0,426.0,75.1126983722081,77.01219330881975,0.9243389051563989,0.902610702077998,0.6001240912272437,0.6267187004596173,0.956221198156682,0.9530201342281879,25.72855898836151,26.437830737784456,20.580452287400075,20.601562688591407,6.119521995230071
258,187,0.5086700738727479,4,259,188,599.0,581.0,95.7401153701776,94.32590180780453,0.8211997215493398,0.8205859267458739,0.8582945259832953,0.8187585185735959,0.9739837398373984,0.9667221297836939,38.65154150759011,36.18959356450699,19.834324150303548,20.777822295087006,1.5782890428468812
279,203,0.5333499404380213,4,280,204,304.0,306.0,64.76955262170047,65.84062043356595,0.9106293695844325,0.8870405246199297,0.6628067431074118,0.7082621323155073,0.9620253164556962,0.9652996845425867,22.905506319798434,23.751060823717197,17.151425658449813,16.76705044453915,13.377094073147688
58,47,0.6550791889753044,4,59,48,535.0,599.0,87.84062043356595,91.25483399593904,0.8713103177258732,0.9039094517228543,0.7217584701314218,0.6937919690381559,0.963963963963964,0.964573268921095,31.58307898791309,32.60331856550879,21.86007042896211,23.480110183386877,3.5055959485924855
357,254,0.6825558972773067,4,358,255,672.0,636.0,99.84062043356595,96.66904755831213,0.8471583479502767,0.8552480650747458,0.7708286880421323,0.711330829904669,0.9559032716927454,0.9492537313432836,36.852252823733316,34.12612173544329,23.476450890118358,23.985795391112894,9.011819214962395
1732,1279,0.48106038395449235,5,1733,1280,358.0,372.0,70.62741699796952,72.5269119345812,0.9018747827399348,0.8886984672766282,0.6627834801443985,0.7008050963167395,0.9649595687331537,0.9612403100775194,24.825231560366266,25.974698721103245,18.58940886900146,18.529124056550998,13.296034406500569
1299,930,0.5963994574126347,5,1300,931,440.0,427.0,80.52691193458116,78.76955262170047,0.8526689541948517,0.8648105545683733,0.6504871573825511,0.7107621825670196,0.9322033898305084,0.9405286343612335,27.63133566397402,28.284329848105504,20.986476168875534,19.896113594449726,4.9324572298609874
1698,1253,0.5971642938980313,5,1699,1254,275.0,299.0,60.62741699796951,63.35533905932738,0.9401657510996342,0.9360835500745653,0.6165537194072003,0.5525680258059725,0.9581881533101045,0.9583333333333334,21.17312802002518,21.494016329625435,16.669875594225747,17.914570544937373,11.546439025416106
1346,969,0.5985366271067424,5,1347,970,503.0,516.0,82.18376618407356,85.01219330881975,0.9358489771782439,0.8972162349794891,0.5851753324608726,0.636566975783725,0.9691714836223507,0.9644859813084112,28.18482277128929,29.449857210809046,22.855264302884184,22.712360824358303,3.1694671875923324
1340,960,0.6170214844053328,5,1341,961,748.0,658.0,103.49747468305831,97.39696961966999,0.8775097597543919,0.8716554872521939,0.6539601337366545,0.6568481481021643,0.961439588688946,0.9619883040935673,35.682193915874855,33.58894836001137,26.994614849868785,25.32683572940449,4.4596715207962765
1392,1000,0.23913932681473027,6,1393,1001,601.0,604.0,91.59797974644667,91.84062043356595,0.9001451498688223,0.8998646360337063,0.7026738592380785,0.6870032220467709,0.9677938808373591,0.9633173843700159,32.89332638538505,32.61278899019555,23.40399924927736,23.698225625434155,4.509487120605327
